city,locality,bedrooms,bathrooms,sqft_living,sqft_lot,floors,year_built,year_renovated,property_type,parking,facing,lift,furnishing,nearby_schools,nearby_hospitals,society,balcony,garden,price
Bengaluru,MG Road,1,3,2220,4495,2,1990,2023,Builder Floor,1,South,Yes,Semi-Furnished,2,5,MG Road Residency,0,No,20185000
Chennai,Adyar,5,4,3706,4266,1,2003,2014,Builder Floor,3,West,Yes,Semi-Furnished,4,3,Adyar Villa,1,No,30078000
Delhi,Saket,4,4,537,6958,2,2001,2023,Apartment,3,South,Yes,Semi-Furnished,9,4,Saket Heights,0,No,5755000
Delhi,Vasant Kunj,2,1,2431,5586,2,1977,2005,Villa,2,West,No,Semi-Furnished,4,0,Vasant Kunj Villa,0,Yes,24530000
Bengaluru,Koramangala,1,1,554,4655,1,1952,1970,Apartment,1,West,Yes,Unfurnished,3,3,Koramangala Enclave,2,Yes,5191000
Pune,Aundh,1,2,2848,3783,3,1953,1991,Independent House,3,South,Yes,Unfurnished,10,1,Aundh Heights,2,Yes,24483000
Pune,Kothrud,3,4,3335,3949,3,1993,0,Independent House,3,North,No,Semi-Furnished,10,3,Kothrud Residency,3,Yes,28772500
Pune,Viman Nagar,5,4,4108,7726,3,2025,2025,Villa,1,North,No,Semi-Furnished,3,3,Viman Nagar Villa,2,Yes,35428000
Chennai,Adyar,2,4,2037,4993,2,1993,2009,Villa,0,South,Yes,Furnished,6,3,Adyar Residency,3,No,16701000
Chennai,T Nagar,1,3,2115,5477,3,1981,1999,Villa,3,East,No,Unfurnished,8,2,T Nagar Enclave,3,No,17165000
Bengaluru,Indiranagar,2,1,1877,4511,1,2018,2019,Apartment,1,West,No,Unfurnished,9,4,Indiranagar Enclave,0,Yes,17093000
Bengaluru,Koramangala,3,2,2776,2941,3,2018,2019,Villa,0,North,No,Unfurnished,2,5,Koramangala Villa,0,Yes,25304000
Pune,Viman Nagar,4,4,3908,6749,1,1956,1987,Independent House,0,North,No,Semi-Furnished,1,4,Viman Nagar Heights,1,Yes,33623000
Pune,Viman Nagar,1,2,1270,8138,3,1978,2010,Independent House,3,West,No,Unfurnished,6,2,Viman Nagar Heights,0,Yes,11015000
Delhi,Saket,1,2,2264,3737,3,1959,1978,Builder Floor,3,West,No,Semi-Furnished,0,1,Saket Enclave,2,No,22840000
Mumbai,Bandra,3,2,3782,4772,3,1978,2018,Apartment,2,South,Yes,Furnished,2,2,Bandra Enclave,3,Yes,45849000
Chennai,Adyar,4,3,4399,8872,2,2006,2007,Builder Floor,3,East,No,Furnished,1,1,Adyar Heights,2,Yes,35677000
Delhi,Vasant Kunj,5,4,2578,4114,3,2005,2024,Independent House,0,West,No,Semi-Furnished,5,2,Vasant Kunj Heights,1,No,26225000
Chennai,Anna Nagar,3,4,4806,5156,2,1961,2000,Villa,2,North,No,Unfurnished,0,5,Anna Nagar Villa,3,Yes,38853000
Delhi,Lajpat Nagar,3,4,3921,4393,1,1984,2018,Apartment,2,West,No,Furnished,0,5,Lajpat Nagar Residency,1,No,39590000
Pune,Kothrud,5,4,1063,4794,1,2009,2011,Apartment,3,East,No,Semi-Furnished,7,3,Kothrud Residency,3,Yes,9520500
Chennai,Velachery,5,2,871,5447,2,1993,2024,Villa,0,East,No,Unfurnished,9,5,Velachery Villa,1,No,7333000
Pune,Baner,3,3,4821,9322,2,2008,2017,Apartment,1,West,Yes,Semi-Furnished,0,2,Baner Villa,3,No,41328500
Delhi,Vasant Kunj,1,2,4414,9298,2,1962,2017,Builder Floor,3,North,Yes,Semi-Furnished,10,1,Vasant Kunj Heights,3,No,44360000
Bengaluru,HSR Layout,4,1,2991,8565,3,1998,2007,Independent House,0,North,Yes,Unfurnished,10,2,HSR Layout Residency,0,No,27234000
Mumbai,Andheri,4,2,2753,3040,1,1991,1993,Villa,2,East,No,Furnished,3,4,Andheri Villa,1,Yes,33456000
Delhi,Dwarka,5,4,2272,6398,3,1968,1981,Independent House,2,West,No,Unfurnished,0,3,Dwarka Enclave,1,Yes,23215000
Chennai,Adyar,5,3,3775,9480,2,2008,2016,Apartment,3,West,Yes,Furnished,6,4,Adyar Enclave,2,No,30710000
Mumbai,Borivali,3,1,4936,5387,3,2013,2025,Villa,1,East,Yes,Unfurnished,3,4,Borivali Enclave,1,Yes,59562000
Mumbai,Juhu,4,1,3288,9337,1,1961,1997,Villa,3,South,Yes,Furnished,8,2,Juhu Enclave,1,No,39821000
Chennai,Adyar,3,1,4136,4802,1,1978,2020,Independent House,2,North,No,Furnished,4,4,Adyar Heights,3,No,33408000
Bengaluru,HSR Layout,4,3,1187,5067,2,1953,2023,Villa,1,North,No,Unfurnished,4,5,HSR Layout Villa,0,Yes,11063000
Mumbai,Andheri,3,4,1251,2893,1,2018,2019,Independent House,3,East,No,Unfurnished,2,3,Andheri Heights,3,No,15347000
Bengaluru,Whitefield,3,2,3932,7624,1,1996,1998,Villa,2,North,No,Semi-Furnished,3,0,Whitefield Villa,0,Yes,35668000
Pune,Kothrud,1,3,2295,3376,3,1976,1979,Apartment,1,South,No,Furnished,9,0,Kothrud Enclave,1,Yes,19847500
Pune,Viman Nagar,2,1,511,2720,1,1995,2009,Villa,0,South,No,Furnished,2,5,Viman Nagar Villa,0,Yes,4618500
Chennai,Anna Nagar,3,1,4002,8179,1,1955,2020,Villa,3,North,Yes,Semi-Furnished,6,3,Anna Nagar Heights,3,No,32286000
Mumbai,Andheri,3,2,838,2955,2,2024,2025,Villa,3,East,No,Unfurnished,9,3,Andheri Heights,0,Yes,10356000
Chennai,Anna Nagar,2,4,3076,9904,2,2001,2013,Builder Floor,2,West,No,Unfurnished,4,2,Anna Nagar Residency,3,Yes,24963000
Mumbai,Andheri,1,4,1091,7246,1,2021,0,Villa,0,West,No,Unfurnished,6,5,Andheri Heights,2,No,13312000
Bengaluru,Whitefield,5,2,1567,9517,1,1963,2006,Villa,0,East,Yes,Semi-Furnished,8,4,Whitefield Heights,2,Yes,14538000
Delhi,Saket,3,3,3175,3275,1,1968,2003,Independent House,0,South,Yes,Furnished,8,1,Saket Villa,3,No,32155000
Bengaluru,Koramangala,3,3,2957,9370,3,1960,1965,Apartment,1,North,Yes,Semi-Furnished,7,5,Koramangala Villa,3,No,26983000
Chennai,Adyar,2,1,3127,6698,1,1986,2022,Independent House,2,North,Yes,Semi-Furnished,9,0,Adyar Heights,1,No,25206000
Delhi,Rohini,3,3,2987,4019,1,2013,2023,Independent House,1,South,No,Unfurnished,3,4,Rohini Enclave,0,No,30130000
Mumbai,Borivali,1,4,937,6116,3,2004,2021,Independent House,3,East,Yes,Semi-Furnished,0,2,Borivali Residency,3,No,11544000
Mumbai,Borivali,1,2,3869,8743,2,2017,2017,Independent House,2,East,Yes,Semi-Furnished,2,0,Borivali Heights,1,No,46618000
Bengaluru,Koramangala,2,1,1499,5742,1,1972,2009,Apartment,0,South,No,Semi-Furnished,9,4,Koramangala Villa,2,No,13671000
Delhi,Vasant Kunj,1,4,3922,9144,2,1985,2021,Builder Floor,2,North,No,Semi-Furnished,7,0,Vasant Kunj Heights,2,No,39460000
Mumbai,Andheri,5,4,4090,8894,3,1955,2011,Apartment,2,West,Yes,Furnished,7,0,Andheri Enclave,0,Yes,49660000
Mumbai,Bandra,4,4,4593,8925,3,1970,1992,Villa,2,West,No,Semi-Furnished,10,4,Bandra Heights,2,Yes,55576000
Bengaluru,Whitefield,5,4,2627,4741,3,1969,1989,Builder Floor,1,East,No,Unfurnished,10,3,Whitefield Residency,0,No,24073000
Pune,Baner,3,2,4612,5427,3,2004,2019,Villa,0,East,No,Furnished,3,2,Baner Villa,1,Yes,39612000
Delhi,Rohini,1,3,1128,9495,3,2017,0,Villa,1,West,Yes,Furnished,2,5,Rohini Residency,3,Yes,11675000
Chennai,Adyar,2,4,2634,8847,3,2007,2013,Apartment,2,West,Yes,Semi-Furnished,10,4,Adyar Villa,3,No,21422000
Chennai,Perambur,5,4,1627,4948,3,1967,2021,Villa,0,West,No,Unfurnished,1,5,Perambur Heights,2,Yes,13526000
Delhi,Saket,4,2,3883,4684,1,2007,2017,Builder Floor,3,North,No,Unfurnished,5,1,Saket Villa,0,No,39110000
Delhi,Dwarka,3,1,3046,9578,1,1967,1968,Villa,3,South,No,Semi-Furnished,9,0,Dwarka Heights,0,No,30660000
Delhi,Rohini,5,4,1210,5980,1,1988,1994,Builder Floor,1,West,No,Furnished,1,3,Rohini Heights,1,Yes,12630000
Bengaluru,MG Road,1,3,2270,6994,2,1973,2014,Builder Floor,2,North,Yes,Semi-Furnished,7,0,MG Road Villa,2,No,20665000
Mumbai,Juhu,1,3,2275,8329,3,1963,2004,Apartment,0,East,No,Unfurnished,2,5,Juhu Villa,3,Yes,27595000
Delhi,Dwarka,4,1,2703,4404,1,1975,1976,Villa,2,West,No,Semi-Furnished,0,5,Dwarka Residency,2,No,27310000
Mumbai,Juhu,3,1,3314,6943,2,2006,2017,Villa,1,West,No,Semi-Furnished,8,2,Juhu Heights,3,Yes,40083000
Chennai,Perambur,2,3,2931,3821,1,1991,2008,Villa,3,West,Yes,Unfurnished,7,2,Perambur Villa,0,No,23683000
Pune,Baner,3,1,914,7619,2,2015,2025,Apartment,0,South,No,Furnished,2,0,Baner Residency,2,No,8094000
Chennai,Perambur,1,2,3985,7073,2,2006,2007,Apartment,2,West,No,Unfurnished,4,1,Perambur Heights,0,Yes,32080000
Chennai,Perambur,4,1,2444,8842,2,2007,2012,Villa,3,South,Yes,Furnished,1,3,Perambur Residency,3,Yes,20017000
Bengaluru,Indiranagar,1,3,2757,9781,1,1972,2021,Villa,1,North,Yes,Furnished,3,3,Indiranagar Heights,2,No,25103000
Chennai,Perambur,2,1,838,5955,2,2011,2023,Independent House,0,South,No,Unfurnished,1,3,Perambur Villa,2,Yes,6954000
Pune,Aundh,2,2,3844,8013,1,1965,1997,Apartment,2,South,Yes,Semi-Furnished,3,2,Aundh Enclave,0,No,32879000
Delhi,Lajpat Nagar,3,2,2780,7863,3,1961,2024,Apartment,1,South,No,Unfurnished,0,0,Lajpat Nagar Heights,0,No,28070000
Delhi,Lajpat Nagar,4,1,4379,9566,3,1987,2005,Independent House,1,West,No,Semi-Furnished,1,5,Lajpat Nagar Heights,1,No,44095000
Chennai,Anna Nagar,4,2,3086,8105,1,1990,2009,Villa,3,South,No,Unfurnished,8,0,Anna Nagar Enclave,1,No,24983000
Mumbai,Juhu,4,2,1454,3090,1,1987,2010,Independent House,1,South,No,Unfurnished,5,1,Juhu Residency,3,No,17773000
Chennai,Adyar,4,1,1037,7529,3,2008,2014,Apartment,2,North,Yes,Semi-Furnished,7,4,Adyar Villa,2,Yes,8691000
Mumbai,Borivali,2,3,3296,9603,2,1996,1996,Independent House,0,South,No,Unfurnished,4,0,Borivali Villa,3,No,39827000
Pune,Aundh,1,2,1092,7595,2,1993,2015,Apartment,1,West,Yes,Furnished,0,1,Aundh Enclave,3,No,9577000
Delhi,Lajpat Nagar,5,2,2986,8058,2,1970,1994,Villa,2,West,No,Semi-Furnished,0,2,Lajpat Nagar Enclave,0,No,30210000
Pune,Viman Nagar,1,4,2475,7895,3,2023,2023,Builder Floor,3,South,No,Furnished,10,1,Viman Nagar Heights,0,Yes,21392500
Mumbai,Borivali,3,4,1540,8355,3,1976,2001,Independent House,0,South,Yes,Unfurnished,5,5,Borivali Villa,3,No,18880000
Delhi,Vasant Kunj,5,3,4775,7727,3,1983,2021,Independent House,1,South,No,Unfurnished,4,1,Vasant Kunj Enclave,2,Yes,48230000
Chennai,Adyar,4,3,4891,7181,2,1965,2000,Independent House,3,East,Yes,Semi-Furnished,0,2,Adyar Heights,2,No,39513000
Bengaluru,MG Road,2,2,4712,6983,3,1984,1991,Builder Floor,1,South,Yes,Unfurnished,8,1,MG Road Residency,0,Yes,42703000
Chennai,Adyar,4,1,1426,1560,3,1970,1995,Independent House,3,South,No,Semi-Furnished,4,5,Adyar Heights,0,Yes,11748000
Pune,Kothrud,2,4,1740,2385,2,2013,2014,Villa,0,North,No,Unfurnished,9,0,Kothrud Enclave,2,No,15080000
Pune,Aundh,4,2,4430,8314,2,1974,2024,Builder Floor,2,South,No,Unfurnished,4,5,Aundh Residency,0,No,37955000
Bengaluru,HSR Layout,2,2,3621,7174,3,1991,1995,Independent House,0,South,Yes,Semi-Furnished,5,1,HSR Layout Heights,2,No,32864000
Delhi,Vasant Kunj,3,3,2773,7594,3,2023,0,Villa,2,South,Yes,Unfurnished,1,3,Vasant Kunj Enclave,1,No,28070000
Pune,Viman Nagar,1,3,3310,8395,1,1978,1985,Independent House,1,West,No,Semi-Furnished,8,3,Viman Nagar Residency,1,Yes,28360000
Pune,Baner,5,3,939,2827,1,2020,2023,Apartment,1,South,No,Unfurnished,7,0,Baner Residency,3,Yes,8436500
Pune,Baner,1,4,1380,9839,2,2008,2025,Builder Floor,3,East,Yes,Semi-Furnished,4,0,Baner Residency,0,Yes,12015000
Chennai,Adyar,1,1,865,8649,1,1986,2011,Apartment,1,West,No,Semi-Furnished,7,3,Adyar Villa,0,Yes,7070000
Bengaluru,Whitefield,2,4,4632,5725,3,1978,0,Builder Floor,2,West,No,Unfurnished,6,1,Whitefield Residency,3,No,42013000
Delhi,Saket,2,1,563,7481,3,1952,1981,Apartment,0,North,Yes,Semi-Furnished,9,5,Saket Heights,1,Yes,5910000
Chennai,Anna Nagar,2,2,762,3107,3,1987,2000,Villa,2,South,No,Furnished,10,4,Anna Nagar Residency,3,No,6436000
Bengaluru,Whitefield,5,2,3799,8402,2,1956,1999,Independent House,2,West,No,Furnished,4,3,Whitefield Residency,3,Yes,34711000
Delhi,Saket,2,4,772,7583,2,2021,2024,Apartment,3,South,No,Furnished,5,5,Saket Heights,3,No,8100000
Mumbai,Powai,2,1,2499,5638,3,1955,1963,Apartment,1,West,Yes,Semi-Furnished,4,0,Powai Residency,1,Yes,30268000
Chennai,Velachery,5,2,3549,5559,3,1991,2008,Independent House,3,East,No,Semi-Furnished,5,4,Velachery Villa,3,Yes,28857000
Chennai,Adyar,2,3,2863,6303,1,2022,2022,Apartment,0,East,No,Semi-Furnished,2,1,Adyar Enclave,1,No,23129000
Pune,Hinjewadi,4,3,2408,8711,2,2012,2018,Apartment,2,South,Yes,Unfurnished,8,3,Hinjewadi Residency,0,Yes,20873000
Mumbai,Andheri,1,4,1426,5267,1,1969,0,Apartment,3,East,Yes,Unfurnished,10,5,Andheri Villa,3,Yes,17422000
Mumbai,Powai,5,4,397,721,3,1985,2018,Villa,0,West,Yes,Furnished,1,4,Powai Residency,1,Yes,5359000
Pune,Aundh,3,3,2489,9051,2,1960,2006,Independent House,3,South,Yes,Semi-Furnished,10,0,Aundh Heights,0,No,21461500
Chennai,Anna Nagar,5,4,759,963,3,1971,1975,Independent House,3,East,Yes,Unfurnished,0,1,Anna Nagar Residency,3,No,6572000
Mumbai,Andheri,3,1,1769,9427,2,1952,1977,Apartment,3,North,No,Furnished,9,1,Andheri Villa,2,No,21553000
Delhi,Dwarka,5,3,739,2389,2,1979,1982,Villa,3,East,Yes,Unfurnished,4,3,Dwarka Villa,1,No,7810000
Pune,Baner,4,2,3413,4165,3,1987,2001,Builder Floor,0,East,Yes,Semi-Furnished,10,1,Baner Villa,2,No,29385500
Mumbai,Andheri,1,3,3943,6941,2,1963,1978,Builder Floor,1,West,No,Unfurnished,8,4,Andheri Villa,0,Yes,47546000
Mumbai,Juhu,5,1,2957,6162,1,1987,2012,Independent House,0,South,Yes,Unfurnished,6,1,Juhu Residency,2,No,35839000
Bengaluru,MG Road,2,1,1669,8840,2,2003,2011,Independent House,0,East,No,Furnished,10,3,MG Road Residency,3,Yes,15361000
Delhi,Saket,1,4,3021,9965,3,1998,2022,Villa,3,East,No,Unfurnished,9,1,Saket Enclave,2,Yes,30520000
Chennai,Adyar,2,4,2914,5351,3,2012,2020,Apartment,2,West,No,Semi-Furnished,5,0,Adyar Residency,1,Yes,23657000
Chennai,Velachery,4,3,866,7619,3,2013,2014,Villa,1,East,Yes,Unfurnished,6,3,Velachery Heights,3,No,7348000
Pune,Baner,5,4,4753,5104,2,2018,2018,Builder Floor,1,East,Yes,Unfurnished,9,0,Baner Villa,2,No,40865500
Mumbai,Andheri,1,3,2118,6351,3,2016,2023,Apartment,3,East,No,Semi-Furnished,10,4,Andheri Residency,2,Yes,25696000
Chennai,T Nagar,3,4,1003,2954,3,1968,1989,Villa,2,West,Yes,Unfurnished,7,2,T Nagar Villa,0,No,8379000
Chennai,Adyar,1,3,666,2601,1,1993,1998,Apartment,1,South,Yes,Semi-Furnished,8,3,Adyar Villa,1,No,5528000
Delhi,Rohini,4,4,539,3821,2,2025,2025,Independent House,0,South,Yes,Semi-Furnished,1,4,Rohini Heights,1,No,5790000
Bengaluru,Koramangala,4,1,2449,7993,2,2017,2021,Independent House,3,North,No,Semi-Furnished,7,4,Koramangala Residency,2,Yes,22391000
Delhi,Saket,1,2,2801,3809,1,1997,2018,Apartment,3,West,Yes,Unfurnished,6,3,Saket Residency,3,Yes,28260000
Pune,Hinjewadi,4,3,1449,4564,2,2007,2025,Builder Floor,2,North,No,Furnished,3,3,Hinjewadi Villa,3,No,12766500
Chennai,Anna Nagar,4,2,977,1532,1,1987,1988,Villa,1,East,Yes,Semi-Furnished,9,5,Anna Nagar Villa,0,Yes,8171000
Bengaluru,HSR Layout,3,1,3915,8440,1,2004,2006,Apartment,2,North,No,Semi-Furnished,5,0,HSR Layout Villa,0,Yes,35485000
Delhi,Lajpat Nagar,3,4,1659,3990,1,1976,1978,Villa,2,South,No,Unfurnished,4,2,Lajpat Nagar Enclave,0,Yes,16930000
Chennai,T Nagar,3,2,1387,5527,1,1991,2005,Independent House,3,South,No,Unfurnished,6,3,T Nagar Villa,0,Yes,11376000
Chennai,Perambur,3,3,4024,8072,2,2024,0,Builder Floor,3,East,Yes,Unfurnished,6,1,Perambur Villa,1,No,32512000
Bengaluru,Indiranagar,3,3,4783,9567,1,2022,2024,Villa,0,North,Yes,Unfurnished,7,0,Indiranagar Heights,1,No,43347000
Chennai,T Nagar,4,2,1380,6375,1,1985,1989,Villa,2,North,No,Unfurnished,10,1,T Nagar Heights,3,No,11365000
Delhi,Vasant Kunj,1,1,308,3854,2,1959,1974,Apartment,3,North,Yes,Unfurnished,5,0,Vasant Kunj Villa,1,No,3240000
Mumbai,Bandra,4,1,1139,2879,2,1997,2024,Villa,1,West,Yes,Unfurnished,10,1,Bandra Heights,0,Yes,14013000
Chennai,Adyar,2,2,3672,8768,3,2006,2011,Builder Floor,0,South,Yes,Unfurnished,6,2,Adyar Villa,2,Yes,29701000
Delhi,Saket,1,2,4833,9806,3,1986,1986,Villa,1,South,No,Semi-Furnished,10,0,Saket Residency,3,No,48545000
Mumbai,Bandra,4,1,4627,4775,2,1990,1997,Independent House,3,East,Yes,Semi-Furnished,1,0,Bandra Heights,0,No,55819000
Delhi,Dwarka,1,4,4450,6846,3,2014,2025,Independent House,3,West,Yes,Unfurnished,8,4,Dwarka Residency,2,Yes,44835000
Bengaluru,Whitefield,5,2,1572,6975,2,2025,0,Villa,3,South,Yes,Furnished,1,3,Whitefield Heights,3,Yes,14693000
Bengaluru,Koramangala,1,1,1424,1659,1,2013,2017,Villa,1,East,Yes,Unfurnished,4,5,Koramangala Heights,0,No,12941000
Chennai,Adyar,5,1,2454,8339,3,1959,2021,Independent House,2,North,No,Unfurnished,2,2,Adyar Residency,2,Yes,20052000
Pune,Kothrud,2,1,660,911,1,1955,2014,Villa,3,South,Yes,Furnished,8,5,Kothrud Villa,1,No,5875000
Delhi,Vasant Kunj,3,3,938,7096,1,2014,2023,Builder Floor,1,South,Yes,Semi-Furnished,1,3,Vasant Kunj Enclave,2,No,9695000
Mumbai,Powai,4,1,3322,5015,2,2022,2023,Apartment,3,East,No,Furnished,8,1,Powai Residency,0,No,40209000
Mumbai,Bandra,5,3,378,5916,1,1998,2024,Villa,0,South,Yes,Semi-Furnished,7,0,Bandra Residency,2,Yes,5001000
Mumbai,Bandra,5,4,3351,7156,3,1960,1971,Apartment,3,North,Yes,Semi-Furnished,10,1,Bandra Residency,2,No,40697000
Bengaluru,MG Road,3,3,4008,6285,1,1959,1983,Apartment,0,South,Yes,Furnished,7,3,MG Road Enclave,3,Yes,36527000
Pune,Viman Nagar,2,4,2825,6670,2,1965,1969,Apartment,2,North,Yes,Semi-Furnished,2,0,Viman Nagar Residency,2,No,24327500
Pune,Kothrud,3,3,1724,2283,2,2007,2023,Apartment,0,West,Yes,Furnished,1,0,Kothrud Heights,1,Yes,15099000
Delhi,Vasant Kunj,3,1,2420,9985,1,1952,1959,Apartment,3,South,Yes,Semi-Furnished,1,0,Vasant Kunj Villa,0,Yes,24475000
Pune,Baner,4,4,541,6861,3,2004,2008,Villa,1,South,No,Semi-Furnished,7,1,Baner Heights,1,No,4993500
Chennai,Anna Nagar,5,4,799,2286,2,1999,2002,Independent House,1,South,Yes,Semi-Furnished,5,3,Anna Nagar Villa,2,No,6857000
Chennai,Adyar,2,1,2912,7853,1,1953,1987,Builder Floor,3,East,Yes,Furnished,1,1,Adyar Residency,2,Yes,23626000
Delhi,Lajpat Nagar,4,3,1723,4658,1,2025,2025,Villa,0,East,Yes,Unfurnished,3,3,Lajpat Nagar Enclave,1,No,17580000
Mumbai,Andheri,1,2,2092,2305,3,2011,0,Villa,1,South,No,Unfurnished,2,2,Andheri Heights,0,Yes,25324000
Pune,Hinjewadi,1,3,894,7064,3,2000,2017,Builder Floor,2,East,No,Furnished,2,5,Hinjewadi Villa,3,No,7919000
Delhi,Lajpat Nagar,5,3,2128,7630,3,1972,1995,Villa,2,South,Yes,Unfurnished,0,5,Lajpat Nagar Villa,0,Yes,21755000
Pune,Viman Nagar,5,2,4932,5834,2,1968,1988,Builder Floor,1,East,No,Furnished,10,0,Viman Nagar Enclave,3,Yes,42442000
Bengaluru,Koramangala,2,1,3171,5323,1,1950,1955,Independent House,3,West,Yes,Semi-Furnished,7,3,Koramangala Enclave,3,Yes,28809000
Chennai,Perambur,2,2,3996,4649,1,1987,1987,Villa,2,North,Yes,Semi-Furnished,2,3,Perambur Residency,0,Yes,32223000
Bengaluru,HSR Layout,5,4,553,7669,3,1971,2008,Independent House,1,North,Yes,Semi-Furnished,3,1,HSR Layout Villa,2,No,5462000
Bengaluru,Koramangala,1,1,3518,8251,3,2012,2013,Builder Floor,2,North,No,Furnished,4,5,Koramangala Villa,1,Yes,31942000
Mumbai,Bandra,2,3,971,8779,1,1989,2013,Independent House,3,East,Yes,Unfurnished,8,3,Bandra Residency,2,No,11917000
Bengaluru,Koramangala,4,1,2456,6108,2,1983,1996,Villa,0,South,Yes,Furnished,10,2,Koramangala Villa,1,Yes,22539000
Chennai,Perambur,4,4,4991,6971,2,1988,1992,Independent House,0,South,Yes,Semi-Furnished,2,1,Perambur Residency,1,Yes,40378000
Mumbai,Borivali,1,4,1954,8742,3,1968,2020,Villa,2,North,Yes,Semi-Furnished,8,3,Borivali Enclave,2,No,23733000
Mumbai,Powai,5,4,1221,8061,1,1968,2003,Builder Floor,0,North,No,Unfurnished,5,3,Powai Enclave,3,No,15087000
Pune,Aundh,4,1,1710,6272,2,1968,2006,Independent House,0,West,No,Unfurnished,3,0,Aundh Villa,2,No,14835000
Mumbai,Juhu,3,3,2596,9550,2,1962,1990,Apartment,2,West,No,Semi-Furnished,6,4,Juhu Heights,1,No,31447000
Delhi,Vasant Kunj,4,3,760,9252,1,1958,1996,Independent House,1,North,Yes,Furnished,3,0,Vasant Kunj Residency,0,No,8010000
Mumbai,Juhu,2,3,3317,7169,3,2000,2019,Builder Floor,0,South,No,Semi-Furnished,9,3,Juhu Residency,3,No,40099000
Bengaluru,Koramangala,3,1,2635,2909,2,1956,1975,Apartment,1,South,Yes,Semi-Furnished,10,3,Koramangala Heights,0,No,23960000
